Time (s)	Position (m)
2.780000	0.424231
2.790000	0.421309
2.800000	0.418389
2.810000	0.415470
2.820000	0.412554
2.830000	0.409638
2.840000	0.406725
2.850000	0.403813
2.860000	0.400903
2.870000	0.397996
2.880000	0.395090
2.890000	0.392186
2.900000	0.389285
2.910000	0.386385
2.920000	0.383488
2.930000	0.380593
2.940000	0.377701
2.950000	0.374811
2.960000	0.371923
2.970000	0.369038
2.980000	0.366156
2.990000	0.363276
3.000000	0.360399
3.010000	0.357525
3.020000	0.354654
3.030000	0.351785
3.040000	0.348920
3.050000	0.346057
3.060000	0.343198
3.070000	0.340342
3.080000	0.337489
3.090000	0.334639
3.100000	0.331793
3.110000	0.328949
3.120000	0.326110
3.130000	0.323273
3.140000	0.320441
3.150000	0.317612
3.160000	0.314786
3.170000	0.311964
3.180000	0.309146
3.190000	0.306332
3.200000	0.303521
3.210000	0.300715
3.220000	0.297912
3.230000	0.295113
3.240000	0.292319
3.250000	0.289528
3.260000	0.286742
3.270000	0.283959
3.280000	0.281181
3.290000	0.278408
3.300000	0.275638
3.310000	0.272874
3.320000	0.270113
3.330000	0.267357
3.340000	0.264606
3.350000	0.261859
3.360000	0.259117
3.370000	0.256379
3.380000	0.253646
3.390000	0.250918
3.400000	0.248195
3.410000	0.245477
3.420000	0.242763
3.430000	0.240055
3.440000	0.237351
3.450000	0.234653
3.460000	0.231960
3.470000	0.229272
3.480000	0.226589
3.490000	0.223911
3.500000	0.221239
3.510000	0.218571
3.520000	0.215910
3.530000	0.213253
3.540000	0.210602
3.550000	0.207957
3.560000	0.205317
3.570000	0.202683
3.580000	0.200054
3.590000	0.197431
3.600000	0.194813
3.610000	0.192202
3.620000	0.189596
3.630000	0.186996
3.640000	0.184401
3.650000	0.181813
3.660000	0.179231
3.670000	0.176654
3.680000	0.174084
3.690000	0.171519
3.700000	0.168961
3.710000	0.166409
3.720000	0.163863
3.730000	0.161323
3.740000	0.158789
3.750000	0.156262
3.760000	0.153741
3.770000	0.151226
3.780000	0.148718
3.790000	0.146216
3.800000	0.143720
3.810000	0.141231
3.820000	0.138749
3.830000	0.136273
3.840000	0.133803
3.850000	0.131340
3.860000	0.128884
3.870000	0.126435
3.880000	0.123992
3.890000	0.121556
3.900000	0.119126
3.910000	0.116704
3.920000	0.114288
3.930000	0.111879
3.940000	0.109477
3.950000	0.107082
3.960000	0.104694
3.970000	0.102313
3.980000	0.099939
3.990000	0.097572
4.000000	0.095212
4.010000	0.092859
4.020000	0.090514
4.030000	0.088175
4.040000	0.085844
4.050000	0.083520
4.060000	0.081203
4.070000	0.078893
4.080000	0.076591
4.090000	0.074295
4.100000	0.072008
4.110000	0.069727
4.120000	0.067454
4.130000	0.065189
4.140000	0.062931
4.150000	0.060680
4.160000	0.058437
4.170000	0.056201
4.180000	0.053973
4.190000	0.051753
4.200000	0.049540
4.210000	0.047334
4.220000	0.045137
4.230000	0.042947
4.240000	0.040764
4.250000	0.038590
4.260000	0.036423
4.270000	0.034264
4.280000	0.032112
4.290000	0.029968
4.300000	0.027833
4.310000	0.025705
4.320000	0.023584
4.330000	0.021472
4.340000	0.019368
4.350000	0.017271
4.360000	0.015182
4.370000	0.013102
4.380000	0.011029
4.390000	0.008964
4.400000	0.006908
4.410000	0.004859
4.420000	0.002818
4.430000	0.000785
4.440000	-0.001239
4.450000	-0.003256
4.460000	-0.005264
4.470000	-0.007264
4.480000	-0.009257
4.490000	-0.011241
4.500000	-0.013216
4.510000	-0.015184
4.520000	-0.017144
4.530000	-0.019095
4.540000	-0.021038
4.550000	-0.022973
4.560000	-0.024900
4.570000	-0.026818
4.580000	-0.028728
4.590000	-0.030630
4.600000	-0.032523
4.610000	-0.034409
4.620000	-0.036285
4.630000	-0.038154
4.640000	-0.040014
4.650000	-0.041866
4.660000	-0.043710
4.670000	-0.045545
4.680000	-0.047371
4.690000	-0.049190
4.700000	-0.051000
4.710000	-0.052801
4.720000	-0.054594
4.730000	-0.056379
4.740000	-0.058155
4.750000	-0.059923
4.760000	-0.061682
4.770000	-0.063433
4.780000	-0.065175
4.790000	-0.066909
4.800000	-0.068634
4.810000	-0.070351
4.820000	-0.072059
4.830000	-0.073759
4.840000	-0.075450
4.850000	-0.077133
4.860000	-0.078807
4.870000	-0.080472
4.880000	-0.082129
4.890000	-0.083778
4.900000	-0.085418
4.910000	-0.087049
4.920000	-0.088672
4.930000	-0.090286
4.940000	-0.091892
4.950000	-0.093489
4.960000	-0.095077
4.970000	-0.096657
4.980000	-0.098228
4.990000	-0.099791
5.000000	-0.101345
5.010000	-0.102890
5.020000	-0.104427
5.030000	-0.105955
5.040000	-0.107475
5.050000	-0.108986
5.060000	-0.110488
5.070000	-0.111982
5.080000	-0.113467
5.090000	-0.114943
5.100000	-0.116411
5.110000	-0.117870
5.120000	-0.119321
5.130000	-0.120763
5.140000	-0.122196
5.150000	-0.123621
