Time (s)	Position (m)
2.780000	0.422331
2.790000	0.419419
2.800000	0.416508
2.810000	0.413599
2.820000	0.410691
2.830000	0.407786
2.840000	0.404882
2.850000	0.401980
2.860000	0.399080
2.870000	0.396182
2.880000	0.393286
2.890000	0.390392
2.900000	0.387501
2.910000	0.384612
2.920000	0.381725
2.930000	0.378840
2.940000	0.375958
2.950000	0.373079
2.960000	0.370201
2.970000	0.367327
2.980000	0.364455
2.990000	0.361586
3.000000	0.358720
3.010000	0.355857
3.020000	0.352997
3.030000	0.350139
3.040000	0.347285
3.050000	0.344433
3.060000	0.341585
3.070000	0.338740
3.080000	0.335899
3.090000	0.333060
3.100000	0.330225
3.110000	0.327393
3.120000	0.324565
3.130000	0.321741
3.140000	0.318919
3.150000	0.316102
3.160000	0.313288
3.170000	0.310478
3.180000	0.307672
3.190000	0.304870
3.200000	0.302071
3.210000	0.299276
3.220000	0.296486
3.230000	0.293699
3.240000	0.290917
3.250000	0.288139
3.260000	0.285365
3.270000	0.282595
3.280000	0.279829
3.290000	0.277068
3.300000	0.274311
3.310000	0.271559
3.320000	0.268811
3.330000	0.266068
3.340000	0.263329
3.350000	0.260595
3.360000	0.257865
3.370000	0.255141
3.380000	0.252421
3.390000	0.249706
3.400000	0.246995
3.410000	0.244290
3.420000	0.241590
3.430000	0.238894
3.440000	0.236204
3.450000	0.233519
3.460000	0.230839
3.470000	0.228164
3.480000	0.225494
3.490000	0.222830
3.500000	0.220171
3.510000	0.217517
3.520000	0.214869
3.530000	0.212226
3.540000	0.209588
3.550000	0.206956
3.560000	0.204330
3.570000	0.201709
3.580000	0.199094
3.590000	0.196485
3.600000	0.193881
3.610000	0.191283
3.620000	0.188691
3.630000	0.186105
3.640000	0.183524
3.650000	0.180950
3.660000	0.178381
3.670000	0.175819
3.680000	0.173262
3.690000	0.170712
3.700000	0.168167
3.710000	0.165629
3.720000	0.163097
3.730000	0.160571
3.740000	0.158052
3.750000	0.155538
3.760000	0.153031
3.770000	0.150531
3.780000	0.148037
3.790000	0.145549
3.800000	0.143068
3.810000	0.140593
3.820000	0.138124
3.830000	0.135663
3.840000	0.133207
3.850000	0.130759
3.860000	0.128317
3.870000	0.125882
3.880000	0.123453
3.890000	0.121032
3.900000	0.118617
3.910000	0.116208
3.920000	0.113807
3.930000	0.111413
3.940000	0.109025
3.950000	0.106645
3.960000	0.104271
3.970000	0.101904
3.980000	0.099545
3.990000	0.097192
4.000000	0.094847
4.010000	0.092508
4.020000	0.090177
4.030000	0.087853
4.040000	0.085536
4.050000	0.083226
4.060000	0.080924
4.070000	0.078629
4.080000	0.076341
4.090000	0.074060
4.100000	0.071787
4.110000	0.069521
4.120000	0.067263
4.130000	0.065012
4.140000	0.062768
4.150000	0.060532
4.160000	0.058304
4.170000	0.056082
4.180000	0.053869
4.190000	0.051663
4.200000	0.049464
4.210000	0.047274
4.220000	0.045090
4.230000	0.042915
4.240000	0.040747
4.250000	0.038587
4.260000	0.036434
4.270000	0.034290
4.280000	0.032153
4.290000	0.030024
4.300000	0.027902
4.310000	0.025789
4.320000	0.023683
4.330000	0.021585
4.340000	0.019495
4.350000	0.017413
4.360000	0.015339
4.370000	0.013272
4.380000	0.011214
4.390000	0.009164
4.400000	0.007121
4.410000	0.005087
4.420000	0.003060
4.430000	0.001042
4.440000	-0.000968
4.450000	-0.002970
4.460000	-0.004965
4.470000	-0.006951
4.480000	-0.008929
4.490000	-0.010898
4.500000	-0.012860
4.510000	-0.014814
4.520000	-0.016759
4.530000	-0.018696
4.540000	-0.020625
4.550000	-0.022546
4.560000	-0.024458
4.570000	-0.026363
4.580000	-0.028259
4.590000	-0.030147
4.600000	-0.032026
4.610000	-0.033897
4.620000	-0.035760
4.630000	-0.037615
4.640000	-0.039461
4.650000	-0.041299
4.660000	-0.043129
4.670000	-0.044950
4.680000	-0.046763
4.690000	-0.048567
4.700000	-0.050364
4.710000	-0.052151
4.720000	-0.053931
4.730000	-0.055702
4.740000	-0.057464
4.750000	-0.059218
4.760000	-0.060964
4.770000	-0.062701
4.780000	-0.064430
4.790000	-0.066150
4.800000	-0.067862
4.810000	-0.069565
4.820000	-0.071260
4.830000	-0.072947
4.840000	-0.074624
4.850000	-0.076294
4.860000	-0.077955
4.870000	-0.079607
4.880000	-0.081251
4.890000	-0.082886
4.900000	-0.084513
4.910000	-0.086131
4.920000	-0.087741
4.930000	-0.089342
4.940000	-0.090935
4.950000	-0.092519
4.960000	-0.094094
4.970000	-0.095661
4.980000	-0.097220
4.990000	-0.098769
5.000000	-0.100311
5.010000	-0.101843
5.020000	-0.103367
5.030000	-0.104883
5.040000	-0.106390
5.050000	-0.107888
5.060000	-0.109378
5.070000	-0.110859
5.080000	-0.112332
5.090000	-0.113796
5.100000	-0.115251
5.110000	-0.116698
5.120000	-0.118136
5.130000	-0.119566
5.140000	-0.120987
5.150000	-0.122399
5.160000	-0.123803
5.170000	-0.125199
5.180000	-0.126585
5.190000	-0.127964
5.200000	-0.129333
5.210000	-0.130694
5.220000	-0.132046
5.230000	-0.133390
5.240000	-0.134726
5.250000	-0.136052
5.260000	-0.137370
5.270000	-0.138680
5.280000	-0.139981
5.290000	-0.141273
5.300000	-0.142557
5.310000	-0.143832
5.320000	-0.145099
5.330000	-0.146357
5.340000	-0.147607
5.350000	-0.148848
5.360000	-0.150080
5.370000	-0.151304
5.380000	-0.152520
5.390000	-0.153727
5.400000	-0.154925
5.410000	-0.156115
5.420000	-0.157297
5.430000	-0.158470
5.440000	-0.159634
5.450000	-0.160790
5.460000	-0.161938
5.470000	-0.163077
5.480000	-0.164207
5.490000	-0.165329
5.500000	-0.166443
5.510000	-0.167548
5.520000	-0.168645
5.530000	-0.169733
5.540000	-0.170813
5.550000	-0.171884
5.560000	-0.172947
5.570000	-0.174002
5.580000	-0.175048
5.590000	-0.176086
5.600000	-0.177115
5.610000	-0.178136
5.620000	-0.179149
5.630000	-0.180154
5.640000	-0.181150
5.650000	-0.182137
5.660000	-0.183117
5.670000	-0.184088
5.680000	-0.185050
5.690000	-0.186005
5.700000	-0.186951
5.710000	-0.187889
5.720000	-0.188819
5.730000	-0.189740
5.740000	-0.190653
5.750000	-0.191558
5.760000	-0.192455
5.770000	-0.193344
5.780000	-0.194224
